year,course,enrolment_F,enrolment_MF,graduates_F,graduates_MF,intake_F,intake_MF,intake_rate_F,intake_rate_MF,intake_men,enrolment_men,graduates_men,intake_rate_men
2013,Health Sciences,1054,1441,296,391,404.0,541.0,38.33017077798861,37.543372657876475,137.0,387,95,35.400516795865634
2013,Humanities & Social Sciences,7095,10645,1766,2584,2132.0,3186.0,30.049330514446794,29.929544387036167,1054.0,3550,818,29.690140845070424
2013,Information Technology,1321,4058,251,824,351.0,1086.0,26.57077971233914,26.761951700344998,735.0,2737,573,26.854219948849106
2013,Law,736,1491,179,368,208.0,403.0,28.26086956521739,27.028839704896043,195.0,755,189,25.827814569536425
2013,Mass Communication,529,702,100,162,135.0,186.0,25.519848771266542,26.495726495726494,51.0,173,62,29.479768786127167
2013,Medicine,744,1469,124,258,189.0,354.0,25.403225806451612,24.098025867937373,165.0,725,134,22.75862068965517
2013,"Natural, Physical & Mathematical Sciences",4715,7855,1257,2127,1430.0,2237.0,30.328738069989395,28.47867600254615,807.0,3140,870,25.70063694267516
2013,Services,551,922,345,481,178.0,317.0,32.3049001814882,34.38177874186551,139.0,371,136,37.46630727762803
2014,Accountancy,2456,4368,649,1122,860.0,1515.0,35.01628664495114,34.684065934065934,655.0,1912,473,34.25732217573222
2014,"Architecture, Building & Real Estate",1213,1990,258,404,314.0,470.0,25.886232481450946,23.618090452261306,156.0,777,146,20.077220077220076
2014,Business & Administration,3597,6577,846,1477,1065.0,1902.0,29.608006672226857,28.918960012163602,837.0,2980,631,28.08724832214765
2014,Dentistry,132,216,30,45,38.0,54.0,28.78787878787879,25.0,16.0,84,15,19.047619047619047
2014,Education,813,1065,388,508,233.0,301.0,28.65928659286593,28.262910798122064,68.0,252,120,26.984126984126984
2014,Engineering Sciences,5050,16606,1174,4221,1441.0,4938.0,28.534653465346533,29.736239913284354,3497.0,11556,3047,30.261336102457598
2014,Fine & Applied Arts,937,1578,229,394,304.0,491.0,32.44397011739594,31.11533586818758,187.0,641,165,29.173166926677066
2014,Health Sciences,1076,1498,309,433,379.0,544.0,35.22304832713755,36.315086782376504,165.0,422,124,39.09952606635071
2014,Humanities & Social Sciences,7535,11291,1619,2422,2107.0,3129.0,27.9628400796284,27.712337259764414,1022.0,3756,803,27.209797657082003
2014,Information Technology,1343,4152,289,997,343.0,1166.0,25.53983618763961,28.082851637764932,823.0,2809,708,29.29868280526878
2014,Law,715,1514,176,356,170.0,397.0,23.776223776223777,26.221928665786,227.0,799,180,28.410513141426783
2014,Mass Communication,555,729,114,158,139.0,185.0,25.045045045045047,25.377229080932786,46.0,174,44,26.436781609195403
2014,Medicine,801,1585,127,261,182.0,379.0,22.72159800249688,23.91167192429022,197.0,784,134,25.127551020408163
2014,"Natural, Physical & Mathematical Sciences",4922,8145,1103,1889,1357.0,2276.0,27.570093457943926,27.94352363413137,919.0,3223,786,28.51380701210053
2014,Services,393,679,219,354,69.0,123.0,17.557251908396946,18.114874815905743,54.0,286,135,18.88111888111888
2015,Accountancy,2684,4723,556,1036,830.0,1470.0,30.923994038748138,31.124285411814526,640.0,2039,480,31.38793526238352
2015,"Architecture, Building & Real Estate",1189,1973,351,539,262.0,419.0,22.035323801513876,21.236695387734414,157.0,784,188,20.025510204081634
2015,Business & Administration,4027,7138,848,1619,1272.0,2120.0,31.586789173081698,29.700196133370692,848.0,3111,771,27.25811636129862
2015,Dentistry,134,219,32,51,34.0,54.0,25.37313432835821,24.65753424657534,20.0,85,19,23.529411764705884
2015,Education,751,955,305,401,247.0,294.0,32.88948069241012,30.785340314136125,47.0,204,96,23.03921568627451
2015,Engineering Sciences,4970,16677,1296,4374,1429.0,4934.0,28.75251509054326,29.585656892726508,3505.0,11707,3078,29.93935252413086
2015,Fine & Applied Arts,934,1599,233,420,244.0,466.0,26.124197002141326,29.14321450906817,222.0,665,187,33.38345864661654
2015,Health Sciences,1126,1567,353,481,417.0,569.0,37.03374777975133,36.311423101467774,152.0,441,128,34.467120181405896
2015,Humanities & Social Sciences,8054,11915,1450,2193,2158.0,3191.0,26.79413955798361,26.78136802349979,1033.0,3861,743,26.754726754726754
2015,Information Technology,1492,4541,377,1066,389.0,1247.0,26.072386058981234,27.46091169345959,858.0,3049,689,28.140373893079698
2015,Law,706,1550,168,355,171.0,405.0,24.22096317280453,26.129032258064516,234.0,844,187,27.725118483412324
2015,Mass Communication,602,776,130,172,181.0,221.0,30.06644518272425,28.47938144329897,40.0,174,42,22.988505747126435
2015,Medicine,859,1719,115,252,176.0,390.0,20.488940628637952,22.68760907504363,214.0,860,137,24.88372093023256
2015,"Natural, Physical & Mathematical Sciences",4989,8226,1145,1935,1288.0,2147.0,25.816796953297253,26.10017019207391,859.0,3237,790,26.53691689836268
2015,Services,373,725,188,342,94.0,199.0,25.201072386058982,27.448275862068964,105.0,352,154,29.829545454545453
2016,Accountancy,2909,5090,664,1103,912.0,1521.0,31.350979718116193,29.88212180746562,609.0,2181,439,27.92297111416781
2016,"Architecture, Building & Real Estate",1205,1980,274,459,252.0,419.0,20.91286307053942,21.161616161616163,167.0,775,185,21.548387096774192
2016,Business & Administration,4230,7514,969,1720,1237.0,2196.0,29.243498817966902,29.225445834442375,959.0,3284,751,29.202192448233863
2016,Dentistry,145,220,28,53,39.0,54.0,26.896551724137932,24.545454545454547,15.0,75,25,20.0
2016,Education,577,743,327,406,172.0,217.0,29.80935875216638,29.205921938088828,45.0,166,79,27.10843373493976
2016,Engineering Sciences,4859,16975,1267,4283,1333.0,4997.0,27.43362831858407,29.43740795287187,3664.0,12116,3016,30.241003631561572
2016,Fine & Applied Arts,958,1628,259,432,297.0,458.0,31.002087682672233,28.132678132678134,161.0,670,173,24.029850746268657
2016,Health Sciences,1335,1860,368,480,593.0,798.0,44.41947565543071,42.903225806451616,205.0,525,112,39.04761904761905
2016,Humanities & Social Sciences,8449,12495,1760,2563,2205.0,3219.0,26.097763048881525,25.762304921968788,1014.0,4046,803,25.061789421651014
2016,Information Technology,1499,4810,381,1051,398.0,1379.0,26.551034022681787,28.66943866943867,981.0,3311,670,29.62851102385986
2016,Law,740,1593,173,351,210.0,399.0,28.37837837837838,25.04708097928437,189.0,853,178,22.157092614302464
2016,Mass Communication,596,774,153,188,148.0,190.0,24.83221476510067,24.54780361757106,42.0,178,35,23.59550561797753
2016,Medicine,912,1845,147,278,204.0,410.0,22.36842105263158,22.22222222222222,206.0,933,131,22.079314040728832
2016,"Natural, Physical & Mathematical Sciences",4967,8267,1195,1950,1240.0,2094.0,24.964767465270786,25.329623805491714,854.0,3300,755,25.87878787878788
2016,Services,382,737,95,179,110.0,201.0,28.79581151832461,27.272727272727273,91.0,355,84,25.633802816901408
2017,Accountancy,2963,5226,725,1278,834.0,1508.0,28.14714816064799,28.855721393034827,674.0,2263,553,29.783473265576667
2017,"Architecture, Building & Real Estate",1222,2015,238,433,219.0,410.0,17.921440261865794,20.34739454094293,191.0,793,195,24.08575031525851
2017,Business & Administration,4665,8165,936,1691,1405.0,2393.0,30.117899249732048,29.308022045315372,988.0,3500,755,28.228571428571428
2017,Dentistry,141,217,33,56,30.0,54.0,21.27659574468085,24.88479262672811,24.0,76,23,31.57894736842105
2017,Education,502,627,206,260,150.0,170.0,29.8804780876494,27.11323763955343,20.0,125,54,16.0
2017,Engineering Sciences,4770,17169,1343,4475,1474.0,5255.0,30.90146750524109,30.6074902440445,3781.0,12399,3132,30.494394709250745
2017,Fine & Applied Arts,957,1629,257,424,276.0,464.0,28.84012539184953,28.483732351135664,188.0,672,167,27.976190476190474
2017,Health Sciences,1611,2244,410,552,703.0,962.0,43.637492240844196,42.8698752228164,259.0,633,142,40.91627172195893
2017,Humanities & Social Sciences,8475,12660,1963,2908,2068.0,3173.0,24.40117994100295,25.063191153238545,1105.0,4185,945,26.403823178016726
2017,Information Technology,1599,5360,330,977,448.0,1579.0,28.017510944340213,29.458955223880597,1131.0,3761,647,30.071789417708057
2017,Law,741,1588,188,375,201.0,391.0,27.125506072874494,24.622166246851386,190.0,847,187,22.43211334120425
2017,Mass Communication,599,781,128,176,135.0,189.0,22.537562604340568,24.199743918053777,54.0,182,48,29.67032967032967
2017,Medicine,946,1962,156,301,194.0,423.0,20.507399577167018,21.559633027522935,229.0,1016,145,22.53937007874016
2017,"Natural, Physical & Mathematical Sciences",4544,7826,1308,2038,815.0,1495.0,17.93573943661972,19.102990033222593,680.0,3282,730,20.719073735527118
2017,Services,377,712,117,216,121.0,202.0,32.09549071618037,28.370786516853933,81.0,335,99,24.17910447761194
2018,Accountancy,2898,5219,720,1299,731.0,1421.0,25.224292615596962,27.22743820655298,690.0,2321,579,29.72856527358897
2018,"Architecture, Building & Real Estate",1190,1993,343,517,280.0,458.0,23.529411764705884,22.980431510286,178.0,803,174,22.166874221668742
2018,Business & Administration,5277,9018,1047,1884,1701.0,2785.0,32.23422399090392,30.8826790862719,1084.0,3741,837,28.976209569633788
2018,Dentistry,135,224,39,53,33.0,60.0,24.444444444444443,26.785714285714285,27.0,89,14,30.337078651685392
2018,Education,449,549,226,283,185.0,220.0,41.202672605790646,40.07285974499089,35.0,100,57,35.0
2018,Engineering Sciences,4909,17656,1226,4380,1484.0,5213.0,30.23018944795274,29.525373810602627,3729.0,12747,3154,29.253942104024475
2018,Fine & Applied Arts,945,1607,275,455,247.0,410.0,26.137566137566136,25.51337896701929,163.0,662,180,24.622356495468278
2018,Health Sciences,1927,2678,385,535,728.0,1001.0,37.77893098079917,37.37864077669903,273.0,751,150,36.35153129161119
2018,Humanities & Social Sciences,8753,12973,1975,2920,2327.0,3368.0,26.58517079858334,25.961612579973792,1041.0,4220,945,24.66824644549763
2018,Information Technology,1905,6143,373,1244,685.0,2039.0,35.958005249343834,33.19225134299202,1354.0,4238,871,31.949032562529496
2018,Law,818,1708,165,403,226.0,480.0,27.628361858190708,28.10304449648712,254.0,890,238,28.53932584269663
2018,Mass Communication,600,778,142,188,146.0,188.0,24.333333333333332,24.164524421593832,42.0,178,46,23.59550561797753
2018,Medicine,966,2045,189,355,208.0,437.0,21.532091097308488,21.369193154034228,229.0,1079,166,21.223354958294717
2018,"Natural, Physical & Mathematical Sciences",4136,7361,1271,2110,916.0,1739.0,22.147001934235977,23.62450753973645,823.0,3225,839,25.51937984496124
2018,Services,385,738,99,197,104.0,222.0,27.01298701298701,30.08130081300813,118.0,353,98,33.42776203966006
2019,Accountancy,2801,5128,830,1418,780.0,1433.0,27.84719742948947,27.94461778471139,653.0,2327,588,28.061882251826386
2019,"Architecture, Building & Real Estate",1173,2020,310,492,288.0,492.0,24.55242966751918,24.356435643564357,204.0,847,182,24.08500590318772
2019,Business & Administration,5894,10028,1178,2025,1859.0,3110.0,31.54054971157109,31.013163143199044,1251.0,4134,847,30.261248185776488
2019,Dentistry,141,232,33,52,39.0,60.0,27.659574468085108,25.862068965517242,21.0,91,19,23.076923076923077
2019,Education,500,606,102,135,156.0,190.0,31.2,31.353135313531354,34.0,106,33,32.075471698113205
2019,Engineering Sciences,5106,18132,1207,4439,1473.0,5101.0,28.848413631022325,28.13258327818222,3628.0,13026,3232,27.85198833103025
2019,Fine & Applied Arts,940,1577,242,423,249.0,423.0,26.48936170212766,26.82308180088776,174.0,637,181,27.315541601255887
2019,Health Sciences,2255,3107,430,584,784.0,1045.0,34.76718403547672,33.63373028644995,261.0,852,154,30.633802816901408
2019,Humanities & Social Sciences,8965,13192,2052,3030,2299.0,3311.0,25.644171779141104,25.098544572468164,1012.0,4227,978,23.941329548142892
2019,Information Technology,2374,7386,383,1186,874.0,2520.0,36.815501263689974,34.11860276198213,1646.0,5012,803,32.84118116520351
2019,Law,862,1774,155,372,215.0,465.0,24.94199535962877,26.211950394588502,250.0,912,217,27.412280701754387
2019,Mass Communication,564,725,175,216,144.0,168.0,25.53191489361702,23.17241379310345,24.0,161,41,14.906832298136646
2019,Medicine,978,2095,181,375,194.0,430.0,19.83640081799591,20.525059665871122,236.0,1117,194,21.128021486123544
