year,institution,enrolment,intake,intake_rate
1986,nanyang_polytechnic,,,
1986,ngee_ann_polytechnic,9617.0,3754.0,39.03504211292503
1986,nie,1331.0,1059.0,79.56423741547708
1986,ntu,2202.0,796.0,36.14895549500454
1986,nus,14150.0,4897.0,34.6077738515901
1986,republic_polytechnic,,,
1986,singapore_polytechnic,8099.0,2872.0,35.46116804543771
1986,sit,,,
1986,smu,,,
1986,suss,,,
1986,sutd,,,
1986,temasek_polytechnic,,,
1987,ite,16539.0,13397.0,81.00247898905617
1987,lasalle_degree,,,
1987,lasalle_diploma,,,
1987,nafa_degree,,,
1987,nafa_diploma,,,
1987,nanyang_polytechnic,,,
1987,ngee_ann_polytechnic,10237.0,3903.0,38.12640421998633
1987,nie,1306.0,882.0,67.53445635528331
1987,ntu,3940.0,1423.0,36.11675126903553
1987,nus,13238.0,4486.0,33.88729415319535
1987,republic_polytechnic,,,
1987,singapore_polytechnic,9193.0,3719.0,40.45469378875231
1987,sit,,,
1987,smu,,,
1987,suss,,,
1987,sutd,,,
1987,temasek_polytechnic,,,
1988,ite,17643.0,12509.0,70.90064048064389
1988,lasalle_degree,,,
1988,lasalle_diploma,,,
1988,nafa_degree,,,
1988,nafa_diploma,,,
1988,nanyang_polytechnic,,,
1988,ngee_ann_polytechnic,10448.0,3698.0,35.39433384379785
1988,nie,1058.0,759.0,71.73913043478261
1988,ntu,4400.0,1615.0,36.70454545454545
1988,nus,14317.0,5337.0,37.27736257595865
1988,republic_polytechnic,,,
1988,singapore_polytechnic,9709.0,3512.0,36.172623339169846
1988,sit,,,
1988,smu,,,
1988,suss,,,
1988,sutd,,,
1988,temasek_polytechnic,,,
1989,ite,17353.0,9982.0,57.523194836627674
1989,lasalle_degree,,,
1989,lasalle_diploma,,,
1989,nafa_degree,,,
1989,nafa_diploma,,,
1989,nanyang_polytechnic,,,
1989,ngee_ann_polytechnic,11341.0,4421.0,38.982453046468564
1989,nie,1337.0,1074.0,80.32909498878085
1989,ntu,5475.0,1328.0,24.255707762557076
1989,nus,14645.0,5059.0,34.54421304199386
1989,republic_polytechnic,,,
1989,singapore_polytechnic,10620.0,3944.0,37.13747645951036
1989,sit,,,
1989,smu,,,
1989,suss,,,
1989,sutd,,,
1989,temasek_polytechnic,,,
1990,ite,15919.0,9221.0,57.92449274451913
1990,lasalle_degree,,,
1990,lasalle_diploma,,,
1990,nafa_degree,,,
1990,nafa_diploma,,,
1990,nanyang_polytechnic,,,
1990,ngee_ann_polytechnic,11995.0,4453.0,37.123801583993334
1990,nie,1577.0,1185.0,75.142675967026
